dish,aliases,cuisine,species,notes
larb,laab; larb gai,Thai,Sus scrofa; Gallus gallus; Citrus aurantiifolia; Stolephorus indicus; Capsicum annuum; Mentha spicata; Coriandrum sativum; Allium fistulosum; Oryza sativa; Allium cepa,
pad see ew,,Thai,Oryza sativa; Glycine max; Aspergillus sojae; Triticum aestivum; Gallus gallus; Brassica oleracea; Allium sativum; Saccharum officinarum,
pad kra pao,thai basil chicken; pad krapow; basil pork,Thai,Sus scrofa; Gallus gallus; Ocimum tenuiflorum; Capsicum annuum; Allium sativum; Stolephorus indicus; Glycine max; Aspergillus sojae; Triticum aestivum; Saccharum officinarum; Oryza sativa,
khao soi,,Thai,Triticum aestivum; Gallus gallus; Cocos nucifera; Capsicum annuum; Curcuma longa; Zingiber officinale; Allium sativum; Coriandrum sativum; Penaeus monodon; Stolephorus indicus; Citrus aurantiifolia; Allium chinense; Brassica juncea,
mango sticky rice,khao niao mamuang,Thai,Oryza sativa; Mangifera indica; Cocos nucifera; Saccharum officinarum; Sesamum indicum; Vigna radiata,
thai iced tea,cha yen,Thai,Camellia sinensis; Bos taurus; Saccharum officinarum; Illicium verum; Tamarindus indica,
satay,chicken satay; sate,Indonesian,Gallus gallus; Arachis hypogaea; Cocos nucifera; Curcuma longa; Coriandrum sativum; Cuminum cyminum; Allium sativum; Cymbopogon citratus; Glycine max; Aspergillus sojae; Triticum aestivum; Citrus aurantiifolia; Capsicum annuum; Saccharum officinarum; Cucumis sativus,
nasi goreng,,Indonesian,Oryza sativa; Gallus gallus; Penaeus monodon; Glycine max; Aspergillus sojae; Triticum aestivum; Capsicum annuum; Allium sativum; Allium cepa; Penaeus vannamei; Cucumis sativus; Solanum lycopersicum; Saccharum officinarum,
mie goreng,mee goreng,Indonesian,Triticum aestivum; Gallus gallus; Brassica oleracea; Glycine max; Aspergillus sojae; Capsicum annuum; Allium sativum; Allium cepa; Penaeus vannamei; Saccharum officinarum; Solanum lycopersicum,
rendang,beef rendang,Indonesian,Bos taurus; Cocos nucifera; Capsicum annuum; Alpinia galanga; Zingiber officinale; Cymbopogon citratus; Allium sativum; Allium cepa; Curcuma longa; Citrus hystrix; Cinnamomum verum; Illicium verum; Syzygium aromaticum; Elettaria cardamomum; Oryza sativa; Tamarindus indica,
gado gado,gado-gado,Indonesian,Arachis hypogaea; Glycine max; Rhizopus oligosporus; Gallus gallus; Solanum tuberosum; Brassica oleracea; Vigna radiata; Vigna unguiculata; Cucumis sativus; Capsicum annuum; Allium sativum; Tamarindus indica; Saccharum officinarum; Oryza sativa,
tempeh,tempe,Indonesian,Glycine max; Rhizopus oligosporus,
nasi lemak,,Malaysian,Oryza sativa; Cocos nucifera; Pandanus amaryllifolius; Engraulis encrasicolus; Arachis hypogaea; Cucumis sativus; Gallus gallus; Capsicum annuum; Allium cepa; Allium sativum; Penaeus monodon; Tamarindus indica; Saccharum officinarum,
laksa,curry laksa; asam laksa,Malaysian,Oryza sativa; Cocos nucifera; Penaeus vannamei; Gallus gallus; Glycine max; Vigna radiata; Capsicum annuum; Alpinia galanga; Cymbopogon citratus; Curcuma longa; Allium sativum; Allium cepa; Penaeus monodon; Coriandrum sativum; Stolephorus indicus; Citrus aurantiifolia,
roti canai,roti prata,Malaysian,Triticum aestivum; Bos taurus; Gallus gallus; Lens culinaris; Allium cepa; Murraya koenigii; Capsicum annuum; Curcuma longa; Coriandrum sativum; Cuminum cyminum,
char kway teow,char kuey teow,Malaysian,Oryza sativa; Penaeus vannamei; Ruditapes philippinarum; Gallus gallus; Glycine max; Aspergillus sojae; Triticum aestivum; Vigna radiata; Allium tuberosum; Allium sativum; Capsicum annuum; Sus scrofa,
hainanese chicken rice,chicken rice,Singaporean,Gallus gallus; Oryza sativa; Zingiber officinale; Allium sativum; Allium fistulosum; Cucumis sativus; Capsicum annuum; Glycine max; Aspergillus sojae; Triticum aestivum; Sesamum indicum,
chili crab,singapore chili crab,Singaporean,Scylla serrata; Capsicum annuum; Solanum lycopersicum; Allium sativum; Zingiber officinale; Gallus gallus; Triticum aestivum; Saccharomyces cerevisiae; Saccharum officinarum; Penaeus monodon,
pho,pho bo; pho ga; beef pho,Vietnamese,Bos taurus; Oryza sativa; Allium cepa; Zingiber officinale; Illicium verum; Cinnamomum verum; Syzygium aromaticum; Coriandrum sativum; Stolephorus indicus; Vigna radiata; Ocimum basilicum; Citrus aurantiifolia; Capsicum annuum; Allium fistulosum; Eryngium foetidum; Elettaria cardamomum,
banh mi,bánh mì,Vietnamese,Triticum aestivum; Saccharomyces cerevisiae; Sus scrofa; Daucus carota; Raphanus sativus; Cucumis sativus; Coriandrum sativum; Capsicum annuum; Gallus gallus; Glycine max; Aspergillus sojae; Stolephorus indicus,
bun cha,bún chả,Vietnamese,Sus scrofa; Oryza sativa; Stolephorus indicus; Saccharum officinarum; Citrus aurantiifolia; Allium sativum; Capsicum annuum; Daucus carota; Carica papaya; Lactuca sativa; Mentha spicata; Perilla frutescens,
spring rolls,summer rolls; goi cuon; fresh spring rolls; rice paper rolls,Vietnamese,Oryza sativa; Penaeus vannamei; Sus scrofa; Lactuca sativa; Mentha spicata; Ocimum basilicum; Arachis hypogaea; Stolephorus indicus; Citrus aurantiifolia; Allium sativum; Capsicum annuum; Allium tuberosum,
vietnamese coffee,ca phe sua da; cà phê sữa đá,Vietnamese,Coffea canephora; Bos taurus; Saccharum officinarum,
bun bo hue,bún bò huế,Vietnamese,Bos taurus; Sus scrofa; Oryza sativa; Cymbopogon citratus; Penaeus monodon; Capsicum annuum; Stolephorus indicus; Allium cepa; Allium fistulosum; Vigna radiata; Ocimum basilicum; Citrus aurantiifolia; Ipomoea aquatica,
com tam,broken rice,Vietnamese,Oryza sativa; Sus scrofa; Gallus gallus; Stolephorus indicus; Saccharum officinarum; Allium sativum; Capsicum annuum; Cucumis sativus; Solanum lycopersicum; Allium fistulosum,
adobo,chicken adobo; pork adobo; filipino adobo,Filipino,Gallus gallus; Sus scrofa; Glycine max; Aspergillus sojae; Triticum aestivum; Allium sativum; Laurus nobilis; Piper nigrum; Oryza sativa,
sinigang,,Filipino,Sus scrofa; Tamarindus indica; Solanum lycopersicum; Raphanus sativus; Ipomoea aquatica; Vigna unguiculata; Solanum melongena; Allium cepa; Capsicum annuum; Stolephorus indicus; Oryza sativa,
lumpia,lumpiang shanghai,Filipino,Triticum aestivum; Sus scrofa; Daucus carota; Allium cepa; Allium sativum; Gallus gallus; Glycine max; Aspergillus sojae,
pancit,pancit canton; pancit bihon,Filipino,Triticum aestivum; Oryza sativa; Gallus gallus; Sus scrofa; Penaeus vannamei; Brassica oleracea; Daucus carota; Glycine max; Aspergillus sojae; Allium sativum; Allium cepa; Citrus aurantiifolia,
lechon,lechon kawali; roast pig,Filipino,Sus scrofa; Allium sativum; Cymbopogon citratus; Allium cepa; Piper nigrum,
halo halo,halo-halo,Filipino,Bos taurus; Saccharum officinarum; Vigna angularis; Cocos nucifera; Artocarpus heterophyllus; Musa acuminata; Ipomoea batatas; Gallus gallus,
kare kare,kare-kare,Filipino,Bos taurus; Arachis hypogaea; Oryza sativa; Solanum melongena; Vigna unguiculata; Brassica rapa; Musa acuminata; Penaeus monodon; Allium sativum; Allium cepa; Bixa orellana,
burmese tea leaf salad,lahpet thoke,Burmese,Camellia sinensis; Brassica oleracea; Solanum lycopersicum; Arachis hypogaea; Sesamum indicum; Allium sativum; Capsicum annuum; Citrus aurantiifolia; Stolephorus indicus; Cicer arietinum; Helianthus annuus,
mohinga,,Burmese,Oryza sativa; Ictalurus punctatus; Cymbopogon citratus; Allium cepa; Allium sativum; Zingiber officinale; Curcuma longa; Cicer arietinum; Stolephorus indicus; Musa × paradisiaca; Gallus gallus; Coriandrum sativum; Citrus aurantiifolia; Capsicum annuum,
amok,fish amok,Cambodian,Oreochromis niloticus; Cocos nucifera; Alpinia galanga; Cymbopogon citratus; Curcuma longa; Citrus hystrix; Allium sativum; Penaeus monodon; Stolephorus indicus; Gallus gallus; Capsicum annuum; Nelumbo nucifera,
lao sausage,sai oua,Lao,Sus scrofa; Cymbopogon citratus; Alpinia galanga; Citrus hystrix; Allium sativum; Capsicum annuum; Allium fistulosum; Coriandrum sativum; Stolephorus indicus,
jollof rice,jollof,West African,Oryza sativa; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Zingiber officinale; Thymus vulgaris; Laurus nobilis; Capsicum chinense,
egusi soup,egusi,Nigerian,Citrullus lanatus; Elaeis guineensis; Bos taurus; Spinacia oleracea; Corchorus olitorius; Allium cepa; Capsicum chinense; Penaeus vannamei; Parkia biglobosa,
fufu,foufou; pounded yam; eba; garri,West African,Manihot esculenta; Dioscorea rotundata; Musa × paradisiaca,
suya,,Nigerian,Bos taurus; Arachis hypogaea; Capsicum annuum; Zingiber officinale; Allium sativum; Allium cepa; Solanum lycopersicum,
groundnut stew,peanut stew; maafe; mafe; domoda,West African,Arachis hypogaea; Gallus gallus; Bos taurus; Solanum lycopersicum; Allium cepa; Allium sativum; Capsicum annuum; Ipomoea batatas; Brassica oleracea; Oryza sativa,
injera,,Ethiopian,Eragrostis tef,
doro wat,doro wot,Ethiopian,Gallus gallus; Allium cepa; Bos taurus; Capsicum annuum; Allium sativum; Zingiber officinale; Trigonella foenum-graecum; Elettaria cardamomum; Syzygium aromaticum; Cinnamomum verum; Myristica fragrans; Eragrostis tef,
shiro,shiro wat,Ethiopian,Cicer arietinum; Allium cepa; Allium sativum; Solanum lycopersicum; Capsicum annuum; Eragrostis tef,
misir wat,ethiopian lentils,Ethiopian,Lens culinaris; Allium cepa; Allium sativum; Capsicum annuum; Zingiber officinale; Eragrostis tef,
kitfo,,Ethiopian,Bos taurus; Capsicum annuum; Elettaria cardamomum,
ethiopian coffee,buna,Ethiopian,Coffea arabica,
bobotie,,South African,Bos taurus; Ovis aries; Triticum aestivum; Saccharomyces cerevisiae; Gallus gallus; Allium cepa; Prunus armeniaca; Prunus dulcis; Laurus nobilis; Vitis vinifera,
bunny chow,,South African,Triticum aestivum; Saccharomyces cerevisiae; Ovis aries; Gallus gallus; Cicer arietinum; Solanum tuberosum; Solanum lycopersicum; Allium cepa; Allium sativum; Zingiber officinale,
boerewors,braai,South African,Bos taurus; Sus scrofa; Coriandrum sativum; Syzygium aromaticum; Myristica fragrans,
chakalaka,,South African,Solanum lycopersicum; Allium cepa; Daucus carota; Capsicum annuum; Phaseolus vulgaris; Allium sativum; Zingiber officinale,
pap,sadza; ugali; nshima; posho,African,Zea mays,
nyama choma,,Kenyan,Capra hircus; Bos taurus; Solanum lycopersicum; Allium cepa; Capsicum annuum; Coriandrum sativum,
piri piri prawns,,Mozambican,Penaeus vannamei; Capsicum frutescens; Allium sativum; Citrus limon; Olea europaea,
tagine of lamb with prunes,,Moroccan,Ovis aries; Prunus domestica; Allium cepa; Zingiber officinale; Cinnamomum verum; Crocus sativus; Apis mellifera; Prunus dulcis; Sesamum indicum,
chermoula fish,,Moroccan,Sparus aurata; Coriandrum sativum; Petroselinum crispum; Allium sativum; Cuminum cyminum; Capsicum annuum; Citrus limon; Olea europaea,
brik,,Tunisian,Triticum aestivum; Gallus gallus; Thunnus albacares; Petroselinum crispum; Capparis spinosa; Allium cepa,
cape malay curry,,South African,Gallus gallus; Ovis aries; Allium cepa; Solanum lycopersicum; Allium sativum; Zingiber officinale; Curcuma longa; Cuminum cyminum; Coriandrum sativum; Cinnamomum verum; Elettaria cardamomum; Syzygium aromaticum; Prunus armeniaca,
thieboudienne,ceebu jen; thiéboudienne,Senegalese,Oryza sativa; Oreochromis niloticus; Solanum lycopersicum; Allium cepa; Allium sativum; Capsicum annuum; Manihot esculenta; Daucus carota; Brassica oleracea; Solanum melongena; Petroselinum crispum; Tamarindus indica,
matoke,,Ugandan,Musa × paradisiaca; Allium cepa; Solanum lycopersicum; Arachis hypogaea,
attieke,attiéké,Ivorian,Manihot esculenta; Oreochromis niloticus; Allium cepa; Solanum lycopersicum; Capsicum annuum,
bissap,hibiscus tea; sorrel drink; agua de jamaica,West African,Hibiscus sabdariffa; Saccharum officinarum; Mentha spicata; Zingiber officinale,
jerk chicken,jerk; jerk pork,Jamaican,Gallus gallus; Capsicum chinense; Pimenta dioica; Thymus vulgaris; Allium fistulosum; Allium sativum; Zingiber officinale; Saccharum officinarum; Cinnamomum verum; Myristica fragrans; Citrus aurantiifolia; Oryza sativa; Vigna unguiculata; Cocos nucifera,
rice and peas,,Jamaican,Oryza sativa; Vigna unguiculata; Cocos nucifera; Allium fistulosum; Thymus vulgaris; Allium sativum; Capsicum chinense; Pimenta dioica,
ackee and saltfish,,Jamaican,Blighia sapida; Gadus morhua; Allium cepa; Solanum lycopersicum; Capsicum chinense; Thymus vulgaris; Allium fistulosum,
curry goat,,Jamaican,Capra hircus; Allium cepa; Allium sativum; Capsicum chinense; Thymus vulgaris; Pimenta dioica; Solanum tuberosum,
jamaican patty,beef patty,Jamaican,Triticum aestivum; Bos taurus; Allium cepa; Capsicum chinense; Thymus vulgaris; Pimenta dioica,
caribbean roti,trini roti; dhalpuri; curry chicken roti; roti and curry,Trinidadian,Triticum aestivum; Cicer arietinum; Gallus gallus; Solanum tuberosum; Allium sativum; Allium cepa; Capsicum chinense; Cuminum cyminum,
doubles,,Trinidadian,Triticum aestivum; Cicer arietinum; Cuminum cyminum; Curcuma longa; Allium sativum; Cucumis sativus; Capsicum chinense; Tamarindus indica; Coriandrum sativum,
mofongo,,Puerto Rican,Musa × paradisiaca; Allium sativum; Sus scrofa; Olea europaea; Gallus gallus,
ropa vieja,,Cuban,Bos taurus; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Cuminum cyminum; Origanum vulgare; Olea europaea; Vitis vinifera; Oryza sativa; Phaseolus vulgaris,
cuban sandwich,cubano,Cuban,Triticum aestivum; Saccharomyces cerevisiae; Sus scrofa; Bos taurus; Sinapis alba; Cucumis sativus,
arroz con pollo,,Latin American,Oryza sativa; Gallus gallus; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Bixa orellana; Cuminum cyminum; Olea europaea; Pisum sativum; Vitis vinifera,
tostones,patacones; fried plantains; maduros,Caribbean,Musa × paradisiaca; Allium sativum,
empanadas,empanada; beef empanadas,Argentine,Triticum aestivum; Bos taurus; Allium cepa; Gallus gallus; Olea europaea; Cuminum cyminum; Capsicum annuum,
asado,argentine bbq; parrillada; churrasco,Argentine,Bos taurus; Sus scrofa; Petroselinum crispum; Allium sativum; Origanum vulgare; Capsicum annuum; Vitis vinifera; Saccharomyces cerevisiae,
chimichurri,,Argentine,Petroselinum crispum; Allium sativum; Origanum vulgare; Capsicum annuum; Olea europaea,
milanesa,milanesa napolitana,Argentine,Bos taurus; Triticum aestivum; Gallus gallus; Sus scrofa; Solanum lycopersicum; Origanum vulgare,
feijoada,,Brazilian,Phaseolus vulgaris; Sus scrofa; Bos taurus; Allium sativum; Allium cepa; Laurus nobilis; Citrus sinensis; Oryza sativa; Brassica oleracea; Manihot esculenta,
pão de queijo,pao de queijo; brazilian cheese bread,Brazilian,Manihot esculenta; Bos taurus; Gallus gallus,
moqueca,moqueca baiana,Brazilian,Lutjanus campechanus; Cocos nucifera; Elaeis guineensis; Solanum lycopersicum; Allium cepa; Capsicum annuum; Coriandrum sativum; Citrus aurantiifolia; Allium sativum; Oryza sativa,
acai bowl,açaí bowl; acai,Brazilian,Euterpe oleracea; Musa acuminata; Paullinia cupana; Fragaria × ananassa; Avena sativa; Apis mellifera,
caipirinha,,Brazilian,Saccharum officinarum; Saccharomyces cerevisiae; Citrus aurantiifolia,
brigadeiro,,Brazilian,Bos taurus; Theobroma cacao; Saccharum officinarum,
lomo saltado,,Peruvian,Bos taurus; Allium cepa; Solanum lycopersicum; Capsicum baccatum; Glycine max; Aspergillus sojae; Triticum aestivum; Solanum tuberosum; Oryza sativa; Coriandrum sativum; Allium sativum,
aji de gallina,ají de gallina,Peruvian,Gallus gallus; Capsicum baccatum; Triticum aestivum; Bos taurus; Juglans regia; Allium cepa; Allium sativum; Solanum tuberosum; Oryza sativa; Olea europaea,
causa,causa limeña,Peruvian,Solanum tuberosum; Capsicum baccatum; Citrus aurantiifolia; Gallus gallus; Thunnus albacares; Persea americana; Olea europaea,
anticuchos,,Peruvian,Bos taurus; Capsicum baccatum; Cuminum cyminum; Allium sativum; Origanum vulgare; Zea mays; Solanum tuberosum,
pisco sour,,Peruvian,Vitis vinifera; Saccharomyces cerevisiae; Citrus aurantiifolia; Gallus gallus; Saccharum officinarum,
arepas,arepa,Venezuelan,Zea mays; Bos taurus; Phaseolus vulgaris; Persea americana; Gallus gallus,
pupusas,pupusa,Salvadoran,Zea mays; Bos taurus; Sus scrofa; Phaseolus vulgaris; Brassica oleracea; Daucus carota; Origanum vulgare; Solanum lycopersicum,
gallo pinto,,Costa Rican,Oryza sativa; Phaseolus vulgaris; Allium cepa; Capsicum annuum; Coriandrum sativum; Allium sativum,
bandeja paisa,,Colombian,Bos taurus; Sus scrofa; Oryza sativa; Phaseolus vulgaris; Gallus gallus; Musa × paradisiaca; Zea mays; Persea americana,
ajiaco,,Colombian,Gallus gallus; Solanum tuberosum; Zea mays; Galinsoga parviflora; Bos taurus; Persea americana; Capparis spinosa,
cuy,roasted guinea pig,Andean,Cavia porcellus; Allium sativum; Cuminum cyminum; Solanum tuberosum; Zea mays,
quinoa salad,quinoa bowl,,Chenopodium quinoa; Solanum lycopersicum; Cucumis sativus; Petroselinum crispum; Citrus limon; Olea europaea; Allium cepa,
chicken noodle soup,chicken soup,American,Gallus gallus; Triticum aestivum; Daucus carota; Apium graveolens; Allium cepa; Petroselinum crispum; Thymus vulgaris,
tomato soup,cream of tomato,American,Solanum lycopersicum; Allium cepa; Allium sativum; Bos taurus; Ocimum basilicum,
lentil soup,,,Lens culinaris; Allium cepa; Daucus carota; Apium graveolens; Allium sativum; Cuminum cyminum; Solanum lycopersicum; Olea europaea; Citrus limon,
split pea soup,,,Pisum sativum; Sus scrofa; Allium cepa; Daucus carota; Apium graveolens; Thymus vulgaris; Laurus nobilis,
beef stew,,,Bos taurus; Solanum tuberosum; Daucus carota; Allium cepa; Apium graveolens; Allium sativum; Thymus vulgaris; Laurus nobilis; Triticum aestivum; Solanum lycopersicum,
roast chicken,rotisserie chicken; roasted chicken,,Gallus gallus; Citrus limon; Allium sativum; Thymus vulgaris; Salvia rosmarinus; Bos taurus,
grilled salmon,baked salmon; roasted salmon,,Salmo salar; Citrus limon; Anethum graveolens; Olea europaea,
tuna salad,tuna sandwich; tuna melt,American,Thunnus albacares; Gallus gallus; Apium graveolens; Allium cepa; Triticum aestivum; Saccharomyces cerevisiae; Bos taurus,
egg salad,egg salad sandwich,American,Gallus gallus; Sinapis alba; Apium graveolens; Allium schoenoprasum; Triticum aestivum; Saccharomyces cerevisiae,
chicken salad,chicken salad sandwich,American,Gallus gallus; Apium graveolens; Allium cepa; Vitis vinifera; Juglans regia; Triticum aestivum; Saccharomyces cerevisiae,
avocado toast,,,Persea americana; Triticum aestivum; Saccharomyces cerevisiae; Citrus limon; Capsicum annuum; Gallus gallus,
toast,buttered toast; toast with jam,,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Fragaria × ananassa,
bagel and lox,bagel with cream cheese; bagel; lox,American,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Salmo salar; Allium cepa; Solanum lycopersicum; Capparis spinosa,
cereal,corn flakes; breakfast cereal; cheerios,American,Zea mays; Avena sativa; Triticum aestivum; Bos taurus; Saccharum officinarum,
yogurt parfait,yogurt with granola; yoghurt,,Bos taurus; Avena sativa; Apis mellifera; Vaccinium corymbosum; Fragaria × ananassa,
fruit salad,,,Malus domestica; Musa acuminata; Citrus sinensis; Vitis vinifera; Fragaria × ananassa; Ananas comosus; Cucumis melo,
hummus wrap,veggie wrap; falafel wrap,,Triticum aestivum; Cicer arietinum; Sesamum indicum; Lactuca sativa; Solanum lycopersicum; Cucumis sativus; Allium cepa,
sushi burrito,,,Oryza sativa; Pyropia yezoensis; Salmo salar; Thunnus albacares; Persea americana; Cucumis sativus; Brassica oleracea; Gallus gallus; Glycine max; Aspergillus sojae; Triticum aestivum,
mashed potatoes,mash,,Solanum tuberosum; Bos taurus,
baked potato,jacket potato,,Solanum tuberosum; Bos taurus; Allium schoenoprasum; Sus scrofa,
roasted vegetables,roast veg,,Daucus carota; Solanum tuberosum; Allium cepa; Cucurbita moschata; Cucurbita pepo; Capsicum annuum; Allium sativum; Olea europaea; Salvia rosmarinus,
steamed broccoli,,,Brassica oleracea,
green beans almondine,haricots verts amandine,,Phaseolus vulgaris; Prunus dulcis; Bos taurus; Citrus limon,
creamed spinach,,,Spinacia oleracea; Bos taurus; Allium cepa; Allium sativum; Myristica fragrans,
ratatouille pasta,,,Triticum turgidum; Solanum melongena; Cucurbita pepo; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Olea europaea; Ocimum basilicum,
veggie stir fry,tofu stir fry,,Glycine max; Brassica oleracea; Capsicum annuum; Daucus carota; Allium cepa; Allium sativum; Zingiber officinale; Aspergillus sojae; Triticum aestivum; Sesamum indicum; Oryza sativa,
buddha bowl,grain bowl; power bowl,,Chenopodium quinoa; Cicer arietinum; Ipomoea batatas; Brassica oleracea; Persea americana; Sesamum indicum; Citrus limon; Allium sativum,
wine,red wine; white wine; rosé; champagne; prosecco,,Vitis vinifera; Saccharomyces cerevisiae,
whiskey,whisky; bourbon; scotch,,Hordeum vulgare; Zea mays; Secale cereale; Saccharomyces cerevisiae,
gin and tonic,gin; g&t,,Triticum aestivum; Saccharomyces cerevisiae; Juniperus communis; Cinchona officinalis; Citrus aurantiifolia; Coriandrum sativum,
vodka,vodka soda; martini,,Triticum aestivum; Saccharomyces cerevisiae,
rum,mojito; daiquiri; rum and coke,,Saccharum officinarum; Saccharomyces cerevisiae; Citrus aurantiifolia; Mentha spicata,
tequila,tequila shot; paloma,,Agave tequilana; Saccharomyces cerevisiae; Citrus aurantiifolia; Citrus paradisi,
mezcal,,,Agave angustifolia; Saccharomyces cerevisiae; Citrus sinensis,
cider,hard cider; apple cider,,Malus domestica; Saccharomyces cerevisiae,
kombucha,,,Camellia sinensis; Saccharum officinarum; Saccharomyces cerevisiae; Brettanomyces bruxellensis,
hot chocolate,cocoa; hot cocoa,,Theobroma cacao; Bos taurus; Saccharum officinarum,
green tea,sencha; black tea; tea; earl grey; oolong,,Camellia sinensis,
chamomile tea,herbal tea,,Matricaria chamomilla; Apis mellifera,
yerba mate,mate,,Ilex paraguariensis,
orange juice,oj,,Citrus sinensis,
lemonade,,,Citrus limon; Saccharum officinarum,
chocolate bar,chocolate; dark chocolate; milk chocolate,,Theobroma cacao; Saccharum officinarum; Bos taurus; Vanilla planifolia,
trail mix,,,Arachis hypogaea; Prunus dulcis; Anacardium occidentale; Vitis vinifera; Theobroma cacao; Helianthus annuus; Vaccinium macrocarpon,
hummus and pita,hummus with pita,,Cicer arietinum; Sesamum indicum; Citrus limon; Allium sativum; Olea europaea; Triticum aestivum; Saccharomyces cerevisiae,
cheese plate,cheese board; cheese platter,,Bos taurus; Ovis aries; Capra hircus; Penicillium roqueforti; Penicillium camemberti; Vitis vinifera; Juglans regia; Apis mellifera; Triticum aestivum; Ficus carica,
charcuterie and cheese,,,Sus scrofa; Bos taurus; Penicillium nalgiovense; Penicillium camemberti; Olea europaea; Sinapis alba; Triticum aestivum; Saccharomyces cerevisiae; Vitis vinifera,
cricket tacos,chapulines; grasshopper tacos,Mexican,Sphenarium purpurascens; Zea mays; Citrus aurantiifolia; Capsicum annuum; Allium sativum; Allium cepa; Coriandrum sativum; Persea americana,
cricket flour protein bar,cricket bar; insect protein,,Acheta domesticus; Phoenix dactylifera; Arachis hypogaea; Theobroma cacao,
mopane worms,,Southern African,Gonimbrasia belina; Solanum lycopersicum; Allium cepa; Capsicum annuum; Zea mays,
escamoles,ant eggs,Mexican,Liometopum apiculatum; Bos taurus; Dysphania ambrosioides; Allium cepa; Capsicum annuum; Zea mays,
uni sushi,uni nigiri,Japanese,Mesocentrotus nudus; Oryza sativa; Pyropia yezoensis,
seaweed salad,wakame salad; goma wakame,Japanese,Undaria pinnatifida; Sesamum indicum; Glycine max; Aspergillus sojae; Triticum aestivum; Oryza sativa; Saccharum officinarum; Capsicum annuum; Gelidium amansii,
hijiki salad,hijiki,Japanese,Sargassum fusiforme; Daucus carota; Glycine max; Aspergillus oryzae; Sesamum indicum; Aspergillus sojae; Triticum aestivum,
dulse chips,,,Palmaria palmata,
laverbread,welsh laverbread,Welsh,Porphyra umbilicalis; Avena sativa; Sus scrofa,
irish moss drink,sea moss gel; sea moss smoothie,Caribbean,Chondrus crispus; Bos taurus; Cinnamomum verum; Myristica fragrans; Saccharum officinarum,
spirulina smoothie,spirulina; chlorella smoothie,,Chlorella vulgaris; Musa acuminata; Mangifera indica; Ananas comosus; Cocos nucifera,
euglena drink,midorimushi,Japanese,Euglena gracilis,
huitlacoche quesadilla,huitlacoche,Mexican,Ustilago maydis; Zea mays; Bos taurus; Dysphania ambrosioides; Allium cepa; Allium sativum; Capsicum annuum,
mushroom soup,cream of mushroom,,Agaricus bisporus; Bos taurus; Allium cepa; Allium sativum; Thymus vulgaris; Triticum aestivum,
wild mushroom pasta,mushroom pasta; truffle pasta,,Triticum turgidum; Boletus edulis; Cantharellus cibarius; Morchella esculenta; Bos taurus; Allium sativum; Petroselinum crispum; Tuber melanosporum,
stuffed mushrooms,,,Agaricus bisporus; Bos taurus; Triticum aestivum; Allium sativum; Petroselinum crispum; Sus scrofa,
quorn,mycoprotein,British,Fusarium venenatum; Gallus gallus,
blue cheese burger,,American,Bos taurus; Triticum aestivum; Saccharomyces cerevisiae; Penicillium roqueforti; Allium cepa; Lactuca sativa; Solanum lycopersicum,
brie and fig,baked brie,,Bos taurus; Penicillium camemberti; Ficus carica; Apis mellifera; Juglans regia; Triticum aestivum,
salami sandwich,salami; pepperoni,,Sus scrofa; Bos taurus; Penicillium nalgiovense; Triticum aestivum; Saccharomyces cerevisiae; Sinapis alba,
tempeh bowl,tempeh stir fry,,Glycine max; Rhizopus oligosporus; Oryza sativa; Brassica oleracea; Daucus carota; Zingiber officinale; Allium sativum; Aspergillus sojae; Triticum aestivum; Sesamum indicum,
miso glazed eggplant,nasu dengaku,Japanese,Solanum melongena; Glycine max; Aspergillus oryzae; Oryza sativa; Saccharum officinarum; Sesamum indicum,
miso glazed cod,black cod miso; miso black cod,Japanese,Anoplopoma fimbria; Glycine max; Aspergillus oryzae; Oryza sativa; Saccharum officinarum,
kombu dashi,dashi,Japanese,Saccharina japonica; Katsuwonus pelamis,
shojin ryori,buddhist vegetarian japanese,Japanese,Glycine max; Aspergillus oryzae; Saccharina japonica; Lentinula edodes; Oryza sativa; Sesamum indicum; Raphanus sativus; Cucurbita maxima; Nelumbo nucifera; Spinacia oleracea; Undaria pinnatifida; Sargassum fusiforme; Prunus mume,
japanese set meal,teishoku; japanese breakfast,Japanese,Oryza sativa; Glycine max; Aspergillus oryzae; Saccharina japonica; Katsuwonus pelamis; Undaria pinnatifida; Allium fistulosum; Salmo salar; Raphanus sativus; Pyropia yezoensis; Gallus gallus; Prunus mume,
korean banchan,banchan,Korean,Brassica rapa; Capsicum annuum; Allium sativum; Spinacia oleracea; Vigna radiata; Sesamum indicum; Cucumis sativus; Glycine max; Aspergillus oryzae; Raphanus sativus; Solanum tuberosum; Pteridium aquilinum,
