species,common_name,genus,family,clade,group
Chrysolepis chrysophylla,golden chinquapin,Chrysolepis,Fagaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Corylus avellana,hazelnut,Corylus,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Corylus maxima,filbert,Corylus,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Corylus americana,American hazelnut,Corylus,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Corylus cornuta,beaked hazelnut,Corylus,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Corylus heterophylla,Asian hazel,Corylus,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Corylus colurna,Turkish hazel,Corylus,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Corylus chinensis,Chinese hazel,Corylus,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Betula pendula,silver birch (sap),Betula,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Betula alleghaniensis,yellow birch (sap),Betula,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Betula lenta,sweet birch (birch beer),Betula,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Betula papyrifera,paper birch (sap),Betula,Betulaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Juglans regia,Persian walnut,Juglans,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Juglans nigra,black walnut,Juglans,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Juglans cinerea,butternut,Juglans,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Juglans ailantifolia,Japanese walnut (heartnut),Juglans,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Juglans mandshurica,Manchurian walnut,Juglans,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Juglans neotropica,Andean walnut,Juglans,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Carya illinoinensis,pecan,Carya,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Carya ovata,shagbark hickory,Carya,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Carya laciniosa,shellbark hickory,Carya,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Carya tomentosa,mockernut hickory,Carya,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Carya cathayensis,Chinese hickory,Carya,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Cyclocarya paliurus,sweet tea tree,Cyclocarya,Juglandaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Myrica rubra,yangmei (Chinese bayberry),Myrica,Myricaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Myrica gale,bog myrtle (gruit),Myrica,Myricaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Myrica esculenta,box myrtle (kaphal),Myrica,Myricaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Morella faya,firetree (fruit),Morella,Myricaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Comptonia peregrina,sweetfern (tea),Comptonia,Myricaceae,plant,"Eudicots: gourds, beeches, walnuts, bayberries"
Psidium guajava,guava,Psidium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Psidium cattleyanum,strawberry guava,Psidium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Psidium guineense,Brazilian guava,Psidium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Psidium friedrichsthalianum,Costa Rican guava,Psidium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Acca sellowiana,feijoa,Acca,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium aromaticum,clove,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium cumini,jamun,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium jambos,rose apple,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium malaccense,Malay apple,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium samarangense,wax apple,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium aqueum,water apple,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium polyanthum,Indonesian bay (daun salam),Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium anisatum,aniseed myrtle,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium luehmannii,riberry,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium australe,brush cherry,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium paniculatum,magenta lilly pilly,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Syzygium suborbiculare,lady apple,Syzygium,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eugenia uniflora,Surinam cherry (pitanga),Eugenia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eugenia stipitata,araçá-boi,Eugenia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eugenia brasiliensis,grumichama,Eugenia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eugenia pyriformis,uvaia,Eugenia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eugenia luschnathiana,pitomba (Eugenia),Eugenia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eugenia reinwardtiana,beach cherry,Eugenia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eugenia involucrata,cereja-do-rio-grande,Eugenia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Plinia cauliflora,jabuticaba,Plinia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Plinia edulis,cambucá,Plinia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Myrciaria dubia,camu camu,Myrciaria,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Myrciaria floribunda,rumberry,Myrciaria,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Myrciaria glazioviana,cabeludinha,Myrciaria,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Campomanesia xanthocarpa,guabiroba,Campomanesia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Campomanesia lineatifolia,palillo,Campomanesia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Campomanesia adamantium,gabiroba,Campomanesia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Pimenta dioica,allspice,Pimenta,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Pimenta racemosa,West Indian bay,Pimenta,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Myrtus communis,myrtle (berries),Myrtus,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Luma apiculata,arrayán (Chilean myrtle),Luma,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Ugni molinae,murta (Chilean guava),Ugni,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Amomyrtus luma,luma,Amomyrtus,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Backhousia citriodora,lemon myrtle,Backhousia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Backhousia myrtifolia,cinnamon myrtle,Backhousia,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Kunzea pomifera,muntries,Kunzea,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Rhodomyrtus tomentosa,rose myrtle,Rhodomyrtus,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eucalyptus globulus,Tasmanian blue gum (oil),Eucalyptus,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Eucalyptus gunnii,cider gum (sap),Eucalyptus,Myrtaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Bellucia pentamera,coronillo,Bellucia,Melastomataceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Melastoma malabathricum,Malabar melastome (fruit),Melastoma,Melastomataceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Punica granatum,pomegranate,Punica,Lythraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Trapa natans,water caltrop,Trapa,Lythraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Trapa bicornis,ling nut,Trapa,Lythraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Sonneratia caseolaris,mangrove apple,Sonneratia,Lythraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Oenothera biennis,evening primrose,Oenothera,Onagraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Chamerion angustifolium,fireweed,Chamerion,Onagraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Ludwigia adscendens,water primrose (rau dua),Ludwigia,Onagraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Fuchsia magellanica,hardy fuchsia (berries),Fuchsia,Onagraceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Terminalia catappa,sea almond,Terminalia,Combretaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Terminalia ferdinandiana,Kakadu plum,Terminalia,Combretaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Terminalia chebula,haritaki,Terminalia,Combretaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Terminalia bellirica,bibhitaki,Terminalia,Combretaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Terminalia kaernbachii,okari nut,Terminalia,Combretaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Combretum micranthum,kinkeliba,Combretum,Combretaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Aphloia theiformis,albizia tea (Mauritius),Aphloia,Aphloiaceae,plant,"Eudicots: myrtles, pomegranate, water caltrop, evening primrose, terminalia"
Citrus sinensis,sweet orange,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus reticulata,mandarin,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus limon,lemon,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus aurantiifolia,key lime,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus latifolia,Persian lime,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus paradisi,grapefruit,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus maxima,pomelo,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus medica,citron,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus aurantium,bitter orange,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus hystrix,makrut lime,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus japonica,kumquat,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus junos,yuzu,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus sudachi,sudachi,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus sphaerocarpa,kabosu,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus depressa,shikuwasa,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus unshiu,satsuma,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus clementina,clementine,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus bergamia,bergamot,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus limetta,sweet lime,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus australasica,finger lime,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus australis,round lime,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus glauca,desert lime,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus trifoliata,trifoliate orange,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus natsudaidai,natsumikan,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus hassaku,hassaku,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Citrus iyo,iyokan,Citrus,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Aegle marmelos,bael,Aegle,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Limonia acidissima,wood apple,Limonia,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Clausena lansium,wampee,Clausena,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Murraya koenigii,curry leaf,Murraya,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum piperitum,sansho,Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum bungeanum,Sichuan pepper,Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum armatum,timur (Nepal pepper),Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum simulans,Chinese prickly ash,Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum schinifolium,green Sichuan pepper,Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum rhetsa,Indian prickly ash (teppal),Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum acanthopodium,andaliman,Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Zanthoxylum americanum,toothache tree,Zanthoxylum,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Ruta graveolens,rue,Ruta,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Ruta chalepensis,fringed rue,Ruta,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Casimiroa edulis,white sapote,Casimiroa,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Glycosmis pentaphylla,orangeberry,Glycosmis,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Triphasia trifolia,limeberry,Triphasia,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Agathosma betulina,buchu,Agathosma,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Toddalia asiatica,orange climber,Toddalia,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Tetradium ruticarpum,evodia (wu zhu yu),Tetradium,Rutaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Quassia amara,bitterwood,Quassia,Simaroubaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Lansium domesticum,langsat (duku),Lansium,Meliaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Sandoricum koetjape,santol,Sandoricum,Meliaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Azadirachta indica,neem (flowers),Azadirachta,Meliaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Toona sinensis,Chinese toon (xiangchun),Toona,Meliaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Mangifera indica,mango,Mangifera,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Mangifera odorata,kuwini,Mangifera,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Mangifera caesia,binjai,Mangifera,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Mangifera foetida,horse mango (bachang),Mangifera,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Mangifera pajang,bambangan,Mangifera,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Anacardium occidentale,cashew,Anacardium,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Pistacia vera,pistachio,Pistacia,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Pistacia terebinthus,terebinth (menengiç),Pistacia,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Pistacia lentiscus,mastic,Pistacia,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Pistacia chinensis,Chinese pistache (leaves),Pistacia,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Rhus coriaria,sumac,Rhus,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Rhus typhina,staghorn sumac,Rhus,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Rhus glabra,smooth sumac,Rhus,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Schinus molle,Peruvian pepper (pink peppercorn),Schinus,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Schinus terebinthifolia,Brazilian pepper,Schinus,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Spondias mombin,yellow mombin (hog plum),Spondias,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Spondias purpurea,jocote,Spondias,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Spondias dulcis,ambarella,Spondias,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Spondias pinnata,wild mango (amra),Spondias,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Spondias tuberosa,umbu,Spondias,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Sclerocarya birrea,marula,Sclerocarya,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Bouea macrophylla,gandaria,Bouea,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Dracontomelon dao,dao,Dracontomelon,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Dracontomelon duperreanum,sau,Dracontomelon,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Choerospondias axillaris,lapsi (Nepali hog plum),Choerospondias,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Lannea microcarpa,African grape,Lannea,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Harpephyllum caffrum,wild plum (Cape),Harpephyllum,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Buchanania lanzan,chironji,Buchanania,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Pleiogynium timoriense,Burdekin plum,Pleiogynium,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Cyrtocarpa procera,chupandilla,Cyrtocarpa,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Amphipterygium adstringens,cuachalalate,Amphipterygium,Anacardiaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Canarium ovatum,pili nut,Canarium,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Canarium indicum,galip nut,Canarium,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Canarium album,Chinese olive,Canarium,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Canarium odontophyllum,dabai,Canarium,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Canarium schweinfurthii,African elemi,Canarium,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Dacryodes edulis,safou (African pear),Dacryodes,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Dacryodes macrophylla,atom (fruit),Dacryodes,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Protium heptaphyllum,almécega (fruit),Protium,Burseraceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Litchi chinensis,lychee,Litchi,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Dimocarpus longan,longan,Dimocarpus,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Nephelium lappaceum,rambutan,Nephelium,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Nephelium ramboutan-ake,pulasan,Nephelium,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Nephelium hypoleucum,korlan,Nephelium,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Pometia pinnata,matoa (taun),Pometia,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Blighia sapida,ackee,Blighia,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Melicoccus bijugatus,mamoncillo (quenepa),Melicoccus,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Talisia esculenta,pitomba,Talisia,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Paullinia cupana,guaraná,Paullinia,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Schleichera oleosa,kusum,Schleichera,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Lepisanthes fruticosa,luna nut,Lepisanthes,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Cubilia cubili,kubili nut,Cubilia,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Alectryon tomentosus,hairy alectryon,Alectryon,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Acer saccharum,sugar maple,Acer,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Acer nigrum,black maple,Acer,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Acer rubrum,red maple (sap),Acer,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Acer saccharinum,silver maple (sap),Acer,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Acer palmatum,Japanese maple (momiji tempura),Acer,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Aesculus turbinata,Japanese horse chestnut (tochi),Aesculus,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Aesculus californica,California buckeye (processed),Aesculus,Sapindaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Nitraria sibirica,Siberian nitraria,Nitraria,Nitrariaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Pelargonium graveolens,rose geranium,Pelargonium,Geraniaceae,plant,"Eudicots: citrus, mango, cashew, lychee, maple, mahogany relatives"
Theobroma cacao,cacao,Theobroma,Malvaceae,plant,"Eudicots: cacao, okra, cotton, hibiscus, jute, linden, baobab, durian, brassicas, capers, papaya, moringa, nasturtium"
Theobroma grandiflorum,cupuaçu,Theobroma,Malvaceae,plant,"Eudicots: cacao, okra, cotton, hibiscus, jute, linden, baobab, durian, brassicas, capers, papaya, moringa, nasturtium"
Theobroma bicolor,mocambo (pataxte),Theobroma,Malvaceae,plant,"Eudicots: cacao, okra, cotton, hibiscus, jute, linden, baobab, durian, brassicas, capers, papaya, moringa, nasturtium"
Theobroma subincanum,cupuí,Theobroma,Malvaceae,plant,"Eudicots: cacao, okra, cotton, hibiscus, jute, linden, baobab, durian, brassicas, capers, papaya, moringa, nasturtium"
Herrania purpurea,monkey cacao,Herrania,Malvaceae,plant,"Eudicots: cacao, okra, cotton, hibiscus, jute, linden, baobab, durian, brassicas, capers, papaya, moringa, nasturtium"
